,ts_code,name,start_date,end_date,ann_date,change_reason
4133,002604.SZ,ST龙力,20180119,20180501,20180118,ST
4102,002188.SZ,ST巴士,20180208,20180501,20180207,ST
4103,002427.SZ,ST尤夫,20180208,20180502,20180207,ST
3826,300028.SZ,*金亚,20180627,20180807,20180627,*ST
3785,002680.SZ,ST长生,20180726,20181104,20180725,ST
3767,603188.SH,ST亚邦,20180814,20181106,20180813,ST
3766,002496.SZ,ST辉丰,20180814,20190210,20180813,ST
3951,002552.SZ,*ST宝鼎,20180503,20190305,20180502,*ST
3956,600193.SH,*ST创兴,20180503,20190327,20180502,*ST
4013,600408.SH,*ST安泰,20180424,20190327,20180423,*ST
4012,600150.SH,*ST船舶,20180424,20190328,20180423,*ST
3651,601975.SH,ST长油,20190108,20190328,20181228,ST
4035,600321.SH,*ST正源,20180412,20190331,20180411,*ST
4000,600202.SH,*ST哈空,20180425,20190401,20180424,*ST
4059,600871.SH,*ST油服,20180329,20190401,20180328,*ST
3937,600896.SH,*ST海投,20180503,20190407,20180502,*ST
3825,600399.SH,*ST抚钢,20180627,20190407,20180626,*ST
4005,600539.SH,*ST狮头,20180425,20190407,20180424,*ST
4030,000655.SZ,*ST金岭,20180413,20190408,20180412,*ST
3989,600870.SH,*ST厦华,20180427,20190408,20180426,*ST
3979,600749.SH,*ST藏旅,20180502,20190409,20180427,*ST
3991,002570.SZ,*ST因美,20180427,20190417,20180426,*ST
4093,000737.SZ,*ST南风,20180214,20190417,20180213,*ST
4022,600397.SH,*ST安煤,20180419,20190421,20180418,*ST
3957,600807.SH,*ST天业,20180503,20190422,20180428,*ST
3987,600198.SH,*ST大唐,20180427,20190423,20180426,*ST
4002,601798.SH,*ST蓝科,20180425,20190423,20180424,*ST
3583,000670.SZ,ST盈方,20190327,20190423,20190326,ST
3993,600238.SH,*ST椰岛,20180426,20190425,20180425,*ST
4009,000422.SZ,*ST宜化,20180424,20190425,20180421,*ST
3975,000707.SZ,*ST双环,20180502,20190425,20180427,*ST
4016,000720.SZ,*ST新能,20180423,20190425,20180420,*ST
4139,600421.SH,ST仰帆,20180111,20190428,20180110,ST
3521,000571.SZ,ST大洲,20190416,20190429,20190415,ST
3576,000971.SZ,ST高升,20190328,20190429,20190327,ST
3544,002143.SZ,ST印纪,20190408,20190429,20190404,ST
3533,600891.SH,ST秋林,20190410,20190505,20190409,ST
3530,600687.SH,ST刚泰,20190412,20190505,20190411,ST
3529,000820.SZ,ST节能,20190412,20190505,20190411,ST
3639,002450.SZ,ST康得新,20190123,20190505,20190122,ST
3646,600462.SH,ST九有,20190115,20190505,20190114,ST
3729,002259.SZ,ST升达,20181009,20190505,20181008,ST
3532,000752.SZ,ST西发,20190410,20190505,20190409,ST
3486,002711.SZ,ST欧浦,20190424,20190505,20190423,ST
4011,600209.SH,*ST罗顿,20180424,20190506,20180423,*ST
3998,600778.SH,*ST友好,20180426,20190506,20180425,*ST
3939,600247.SH,*ST成城,20180503,20190508,20180502,*ST
3990,000816.SZ,*ST慧业,20180427,20190709,20180426,*ST
3986,002194.SZ,*ST凡谷,20180427,20190814,20180426,*ST
4055,000585.SZ,*ST东电,20180402,20190820,20180330,*ST
3459,002477.SZ,*ST雏鹰,20190426,20190826,20190425,*ST
3967,002018.SZ,*ST华信,20180502,20190911,20180427,*ST
3587,600877.SH,*ST嘉陵,20190326,20190924,20190325,*ST
3831,000409.SZ,*ST地矿,20180625,20190925,20180622,*ST
3443,600615.SH,ST丰华,20190429,20190929,20190426,ST
3940,000893.SZ,*ST东凌,20180503,20191007,20180428,*ST
3817,000048.SZ,*ST康达,20180702,20191014,20180629,*ST
3696,002680.SZ,*ST长生,20181105,20191015,20181102,*ST
3424,002143.SZ,*ST印纪,20190430,20191017,20190429,*ST
3388,600747.SH,*ST大控,20190506,20191027,20190430,*ST
3235,603810.SH,ST丰山,20190716,20191113,20190715,ST
3385,000018.SZ,*ST神城,20190506,20191124,20190430,*ST
3802,002323.SZ,*ST百特,20180706,20191203,20180705,*ST
3401,600240.SH,*ST华业,20190430,20191211,20190429,*ST
3194,601258.SH,*ST庞大,20190909,20200114,20190906,*ST
3444,600234.SH,*ST山水,20190429,20200408,20190426,*ST
3442,600186.SH,*ST莲花,20190429,20200408,20190426,*ST
3947,600074.SH,*ST保千,20180503,20200409,20180502,*ST
3434,600396.SH,*ST金山,20190429,20200412,20190426,*ST
3502,600526.SH,*ST菲达,20190422,20200416,20190419,*ST
3335,600119.SH,*ST长投,20190506,20200420,20190430,*ST
3094,600290.SH,ST华仪,20191226,20200426,20191225,ST
3579,002113.SZ,ST天润,20190328,20200428,20190327,ST
3671,002147.SZ,ST新光,20181204,20200428,20181203,ST
3226,600856.SH,ST中天,20190812,20200429,20190809,ST
3164,002716.SZ,ST金贵,20191009,20200429,20191008,ST
3460,600385.SH,*ST金泰,20190426,20200429,20190425,*ST
3564,600698.SH,*ST天雁,20190329,20200429,20190328,*ST
3336,600595.SH,*ST中孚,20190506,20200429,20190430,*ST
3705,002445.SZ,ST中南,20181031,20200429,20181030,ST
3402,600721.SH,*ST百花,20190430,20200429,20190429,*ST
3435,600666.SH,*ST瑞德,20190429,20200505,20190426,*ST
3403,600726.SH,*ST华源,20190430,20200505,20190429,*ST
3281,603996.SH,ST中新,20190529,20200505,20190528,ST
3280,002586.SZ,ST围海,20190529,20200505,20190528,ST
3264,600179.SH,ST安通,20190619,20200505,20190618,ST
