,ts_code,name,trade_date,lu_time,ld_time,open_time,last_time,lu_desc,tag,theme,net_change,bid_amount,status,bid_change,bid_turnover,lu_bid_vol,pct_chg,bid_pct_chg,rt_pct_chg,limit_order,amount,turnover_rate,free_float,lu_limit_order
0,600774.SH,汉商集团,20240510,,14:37:55,,,,跌停,医药、中药,-40819663.0,,,,,,,,,1882192.0,297221828.0,27.59,1022003530.0,
1,600990.SH,四创电子,20240510,,14:11:49,,,,跌停,军工、低空经济,-145719065.0,,,,,,,,,13306070.0,1221667681.0,32.43,3449764580.0,
2,605198.SH,安德利,20240510,,14:06:32,,,,跌停,食品饮料、年报增长,-1709549.0,,,,,,,,,8264718.0,128634759.0,14.57,863823941.0,
3,603928.SH,兴业股份,20240510,,10:45:32,,,,跌停,化工、轨道交通,-35120762.0,,,,,,,,,20598578.0,278617553.0,23.24,1189417487.0,
4,603928.SH,兴业股份,20240509,,09:31:28,,,,跌停,化工、轨道交通,-157155733.0,,,,,,,,,6093312.0,458344301.0,33.93,1321987012.0,
5,600785.SH,新华百货,20240508,,09:30:59,,,,跌停,零售、年报增长,-31199324.0,,,,,,,,,57699616.0,50982182.0,2.08,2435443546.0,
6,002305.SZ,南国置业,20240508,,09:25:00,,,,跌停,房地产、地产链,-30008423.0,,,,,,,,,382046048.0,59114448.0,2.65,2229253853.0,
7,002689.SZ,远大智能,20240506,,09:25:00,,,,跌停,机器人概念、新型工业化,-9354307.0,,,,,,,,,44992140.0,45397341.0,3.0,1515173146.0,
8,002425.SZ,凯撒文化,20240506,,09:25:00,,,,跌停,游戏、网红经济,-16208851.0,,,,,,,,,18722680.0,196249899.0,8.6,2253135907.0,
9,002231.SZ,奥维通信,20240506,,09:25:00,,,,跌停,军工、通信,-20967779.0,,,,,,,,,216652880.0,42749255.0,2.83,1512316793.0,
10,002253.SZ,川大智胜,20240430,,13:53:18,,,,跌停,车路云、元宇宙,-86543983.0,,,,,,,,,25684740.0,763393475.0,32.25,2126815293.0,
11,000625.SZ,长安汽车,20240430,,11:16:27,,,,跌停,长安汽车概念、汽车类,-2783684925.0,,,,,,,,,47873844.0,8600904118.0,11.36,73894479314.0,
12,603127.SH,昭衍新药,20240430,,11:16:06,,,,跌停,创新药、CRO,-47404865.0,,,,,,,,,17500734.0,568901483.0,8.76,6368774631.0,
13,002747.SZ,埃斯顿,20240430,,10:32:51,,,,跌停,机器人概念、新型工业化,-199569825.0,,,,,,,,,12648050.0,909873601.0,11.9,7118060117.0,
14,603666.SH,亿嘉和,20240430,,10:25:29,,,,跌停,年报增长、机器人概念,-33888208.0,,,,,,,,,346696.0,173617439.0,6.78,2525469438.0,
15,002780.SZ,三夫户外,20240430,,09:33:51,,,,跌停,服装家纺、年报增长,-37854539.0,,,,,,,,,4453381.0,139110348.0,10.22,1352558701.0,
16,002085.SZ,万丰奥威,20240430,,09:33:33,,,,跌停,飞行汽车、汽车类,-1317923827.0,,,,,,,,,139620288.0,5809323190.0,28.03,20299079943.0,
17,002231.SZ,奥维通信,20240430,,09:33:30,,,,跌停,军工、通信,-108056461.0,,,,,,,,,50002884.0,792948308.0,43.69,1681585278.0,
18,000099.SZ,中信海直,20240430,,09:33:03,,,,跌停,飞行汽车、军工,-918018311.0,,,,,,,,,213052544.0,3669537783.0,34.3,10608500844.0,
19,001696.SZ,宗申动力,20240430,,09:32:48,,,,跌停,低空经济、航空发动机,-290765063.0,,,,,,,,,454030656.0,707025850.0,8.64,8026381600.0,
20,603017.SH,中衡设计,20240430,,09:30:38,,,,跌停,低空经济、一带一路,-33625915.0,,,,,,,,,246344320.0,151109375.0,7.6,1981865691.0,
21,600749.SH,西藏旅游,20240430,,09:25:59,,,,跌停,旅游、低空经济,-13085568.0,,,,,,,,,142548864.0,52580256.0,3.28,1601235040.0,
22,603688.SH,石英股份,20240430,,09:25:55,,,,跌停,年报增长、非金属材料,-116811335.0,,,,,,,,,878717632.0,254715292.0,1.78,14343301260.0,
23,605168.SH,三人行,20240430,,09:25:38,,,,跌停,AIGC、送转填权,-41188399.0,,,,,,,,,75825744.0,135147025.0,3.59,3762624469.0,
24,002715.SZ,登云股份,20240430,,09:25:00,,,,跌停,黄金、汽车零部件,-3492701.0,,,,,,,,,38025492.0,54054882.0,3.93,1372225314.0,
25,002308.SZ,威创股份,20240430,,09:25:00,,,,跌停,信创、虚拟电厂,-6281134.0,,,,,,,,,37507020.0,28833708.0,2.48,1161985268.0,
26,000413.SZ,东旭光电,20240430,,09:25:00,,,,跌停,消费电子、面板,-28768329.0,,,,,,,,,118179040.0,112954842.0,1.77,6386822408.0,
27,000004.SZ,国华网安,20240430,,09:25:00,,,,跌停,车路云、智能驾驶,-575673.0,,,,,,,,,1892443.0,134875863.0,13.94,962753497.0,
28,600083.SH,博信股份,20240429,,09:25:44,,,,跌停,ST板块、平台经济,-6104848.0,,,,,,,,,44621640.0,79174640.0,10.49,754905382.0,
29,603879.SH,永悦科技,20240429,,09:25:42,,,,跌停,ST板块、超跌,-12638452.0,,,,,,,,,109132416.0,45703110.0,3.91,1169835899.0,
30,603828.SH,柯利达,20240429,,09:25:32,,,,跌停,ST板块、地产链,-8485171.0,,,,,,,,,45214896.0,18350808.0,2.33,787569184.0,
31,002715.SZ,登云股份,20240429,,09:25:00,,,,跌停,黄金、汽车类,-11640921.0,,,,,,,,,45802144.0,60257980.0,3.94,1524883260.0,
32,000691.SZ,亚太实业,20240429,,09:25:00,,,,跌停,化工、甘肃省,9683869.0,,,,,,,,,9988373.0,189228478.0,19.13,981294648.0,
33,000691.SZ,亚太实业,20240426,,10:25:00,,,,跌停,化工、股权转让,-61533061.0,,,,,,,,,8376813.0,305695936.0,26.53,1089766807.0,
34,605055.SH,迎丰股份,20240425,,10:28:38,,,,跌停,分散染料、服装家纺,-15467942.0,,,,,,,,,1476540.0,60602318.0,6.49,918709299.0,
35,002687.SZ,乔治白,20240425,,09:31:33,,,,跌停,服装家纺、病毒防治,9469716.0,,,,,,,,,1437156.0,170478441.0,10.27,1655797335.0,
36,603215.SH,比依股份,20240425,,09:25:03,,,,跌停,家电、新零售,-11151787.0,,,,,,,,,20559004.0,71592130.0,6.1,1173228098.0,
37,600706.SH,曲江文旅,20240425,,09:25:02,,,,跌停,旅游、数字经济,-22901924.0,,,,,,,,,110146640.0,86068602.0,5.13,1676538924.0,
38,600246.SH,万通发展,20240424,,09:37:40,,,,跌停,芯片、房地产,-51289836.0,,,,,,,,,69479208.0,148022064.0,2.53,5693141912.0,
