trade_date,open,high,low,close,volume,openinterest
2020-01-02,1817.67,1850.42,1806.75,1841.69,1530231.87,0
2020-01-03,1849.33,1889.72,1847.15,1875.53,1116194.81,0
2020-01-06,1856.97,1893.0,1846.05,1863.52,862083.5,0
2020-01-07,1870.07,1886.45,1850.42,1872.26,728607.56,0
2020-01-08,1855.88,1861.34,1815.49,1818.76,847824.12,0
2020-01-09,1835.14,1848.24,1804.57,1832.95,1031636.65,0
2020-01-10,1832.95,1835.14,1803.48,1822.04,585548.45,0
2020-01-13,1828.59,1859.15,1813.3,1854.79,872133.36,0
2020-01-14,1854.79,1885.36,1829.68,1829.68,1304493.66,0
2020-01-15,1832.95,1840.6,1795.84,1803.48,859439.12,0
2020-01-16,1803.48,1808.94,1768.54,1782.74,1028104.67,0
2020-01-17,1788.19,1806.75,1784.92,1789.29,605436.69,0
2020-01-20,1793.65,1813.3,1784.92,1795.84,746074.75,0
2020-01-21,1783.83,1783.83,1739.07,1746.71,896603.1,0
2020-01-22,1737.98,1764.18,1715.05,1756.54,719464.91,0
2020-01-23,1737.98,1737.98,1680.12,1696.49,1100592.07,0
2020-02-03,1527.28,1604.79,1527.28,1527.28,2259194.83,0
2020-02-04,1533.83,1600.42,1530.55,1593.87,1706172.07,0
2020-02-05,1592.78,1625.53,1563.31,1597.15,1491380.21,0
2020-02-06,1616.8,1623.35,1584.05,1612.43,1185815.72,0
2020-02-07,1593.87,1603.7,1573.13,1596.06,924852.96,0
2020-02-10,1584.05,1586.23,1561.12,1582.96,1339495.24,0
2020-02-11,1593.87,1630.99,1589.51,1614.62,1407507.44,0
2020-02-12,1614.62,1617.89,1593.87,1612.43,1070503.21,0
2020-02-13,1605.88,1624.44,1594.96,1599.33,1013205.28,0
2020-02-14,1610.25,1652.82,1604.79,1640.82,1512434.73,0
2020-02-17,1641.91,1677.93,1629.9,1677.93,1543696.01,0
2020-02-18,1673.57,1673.57,1638.63,1659.37,973612.35,0
2020-02-19,1648.46,1677.93,1646.27,1663.74,874106.93,0
2020-02-20,1667.02,1705.23,1648.46,1701.95,1235444.34,0
2020-02-21,1691.03,1716.14,1686.67,1700.86,995071.02,0
2020-02-24,1687.76,1687.76,1653.92,1662.65,1191794.5,0
2020-02-25,1637.54,1651.73,1613.52,1641.91,1144575.02,0
2020-02-26,1612.43,1667.02,1604.79,1636.45,1176599.15,0
2020-02-27,1633.17,1653.92,1625.53,1649.55,975270.9,0
2020-02-28,1621.17,1641.91,1578.59,1582.96,1300644.45,0
2020-03-02,1588.41,1632.08,1578.59,1614.62,1116580.66,0
2020-03-03,1633.17,1636.45,1597.15,1606.97,1153584.32,0
2020-03-04,1602.61,1613.52,1584.05,1603.7,862595.23,0
2020-03-05,1615.71,1707.41,1608.07,1680.12,2686602.34,0
2020-03-06,1657.19,1667.02,1639.72,1640.82,1228531.03,0
2020-03-09,1605.88,1608.07,1574.22,1577.5,1665793.54,0
2020-03-10,1569.86,1621.17,1569.86,1611.34,1167864.97,0
2020-03-11,1612.43,1624.44,1596.06,1603.7,814381.64,0
2020-03-12,1599.33,1620.07,1586.23,1602.61,986497.11,0
2020-03-13,1517.45,1591.69,1517.45,1585.14,1169765.8,0
2020-03-16,1577.5,1578.59,1501.08,1501.08,1406202.18,0
2020-03-17,1501.08,1525.1,1433.39,1463.96,1177849.06,0
2020-03-18,1463.96,1479.25,1380.99,1387.54,1384784.37,0
2020-03-19,1384.27,1390.82,1300.21,1335.14,1891457.13,0
2020-03-20,1353.7,1384.27,1338.42,1366.8,1578352.96,0
2020-03-23,1310.03,1348.24,1302.39,1326.41,1071113.64,0
2020-03-24,1353.7,1384.27,1339.51,1376.63,1180200.26,0
2020-03-25,1406.1,1426.84,1386.45,1405.01,1136957.74,0
2020-03-26,1395.18,1456.32,1388.63,1425.75,1075192.43,0
2020-03-27,1446.49,1460.69,1427.94,1435.58,653018.88,0
2020-03-30,1402.83,1423.57,1393.0,1412.65,661738.79,0
2020-03-31,1424.66,1429.03,1395.18,1397.37,513370.3,0
2020-04-01,1403.92,1433.39,1399.55,1407.19,520836.04,0
2020-04-02,1391.91,1415.93,1382.08,1415.93,518365.04,0
2020-04-03,1399.55,1407.19,1370.08,1376.63,825348.14,0
2020-04-07,1407.19,1412.65,1398.46,1406.1,870313.71,0
2020-04-08,1406.1,1410.47,1388.63,1395.18,528716.14,0
2020-04-09,1406.1,1407.19,1388.63,1390.82,408553.77,0
2020-04-10,1393.0,1417.02,1380.99,1396.28,666674.95,0
2020-04-13,1383.18,1387.54,1361.34,1374.44,446214.4,0
2020-04-14,1380.99,1403.92,1372.26,1403.92,686086.87,0
2020-04-15,1403.92,1411.56,1395.18,1405.01,656396.4,0
2020-04-16,1396.28,1396.28,1368.98,1384.27,789154.98,0
2020-04-17,1394.09,1423.57,1380.99,1407.19,1331164.77,0
2020-04-20,1403.92,1424.66,1394.09,1418.11,818455.83,0
2020-04-21,1451.95,1495.62,1451.95,1468.33,2122448.34,0
2020-04-22,1459.59,1465.05,1436.67,1444.31,1032802.74,0
2020-04-23,1444.31,1453.04,1431.21,1444.31,646989.63,0
2020-04-24,1437.76,1449.77,1431.21,1445.4,566001.61,0
2020-04-27,1451.95,1489.07,1446.49,1473.79,936829.9,0
2020-04-28,1468.33,1480.34,1448.68,1475.97,771564.17,0
2020-04-29,1471.6,1539.29,1468.33,1530.55,1108722.39,0
2020-04-30,1530.55,1563.31,1515.27,1520.73,819540.43,0
2020-05-06,1502.17,1516.36,1485.8,1503.26,1008998.02,0
2020-05-07,1502.17,1502.17,1484.7,1494.53,662749.23,0
2020-05-08,1502.17,1530.55,1493.44,1522.91,934781.7,0
2020-05-11,1519.64,1542.56,1517.45,1528.37,612862.29,0
2020-05-12,1522.91,1533.83,1497.8,1505.45,558511.14,0
2020-05-13,1501.08,1504.35,1477.06,1487.98,640358.79,0
2020-05-14,1479.25,1483.61,1443.22,1451.95,944672.09,0
