ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
301030.SZ,20200327,20200327,20190930,1,1,3,100000000.0,467884800.0,164356900.0,12197800.0,,427579300.0,,21260000.0,579377300.0,,130098000.0,,,130891800.0,,,,,,,,,21246200.0,1319580900.0,,,,,,,,32668600.0,64690300.0,,,,,10365200.0,,2378300.0,1055800.0,10630300.0,,,121788500.0,,,,,,,,,,,,,,,,,1441369400.0,31200000.0,224324100.0,,,,,181436100.0,157942100.0,12529800.0,,,9266900.0,7842500.0,,1740000.0,936100.0,,,,,,,,7565500.0,,603583100.0,,,,,,250000.0,28798300.0,61606400.0,,,,,,,,,,,,,,,,,665189500.0,,,,,31740400.0,744439500.0,776179900.0,1441369400.0,,,,,,,,,,,,,,,600637300.0,339378200.0,9128300.0,32668600.0,64690300.0,2676100.0,1358100.0,,,1
600905.SH,20200403,20200403,20190930,1,1,3,20000000000.0,9382360224.73,8502955565.2,27465185.19,,4861026453.13,603790187.49,,10411653572.99,484510461.79,1084446462.24,48624982.97,1076645.7,53703426.8,,,,,,,,,5175100.36,17813562751.24,,,9319113629.53,793615715.0,,,,49644964462.38,10736289055.41,,,,,1292074409.0,,281044259.74,87138313.19,25049656.72,,3445389684.94,77006362747.38,,,,,,,,,,,,,,,,,94819925498.62,29505453657.94,967900000.0,,,,,659592293.51,6772450684.5,891720.61,,,37037507.8,108795519.95,373575623.85,3278688585.05,2979720210.95,,,,,,,,1891275982.05,,17069928128.27,3995968837.14,,,3838200.0,1139623691.41,25805984.19,49343228.71,36810119656.33,,,,,,,,,,,,,,,,,53880047784.6,,,,,3007736380.44,37932141333.58,40939877714.02,94819925498.62,12820000.0,19360358.46,,,,,,,,,,,,,10411653572.99,7432042978.01,534212090.46,49644964462.38,10736289055.41,6631984419.85,2077266056.94,,,1
688680.SH,20201104,20201104,20190930,1,1,3,61110000.0,265113412.41,143796996.4,13963996.78,,30819147.58,,327674720.29,230047801.75,,37452099.63,,,83834857.56,,,,,,,,,19633304.75,738537800.12,,,12284763.87,,,,1858800.0,145406808.56,15895762.9,,,,,23520593.03,,,1199230.87,14020710.34,,849133.52,215035803.09,,,,,,,,,,,,,,,,,953573603.21,20000000.0,107247294.94,,,,,11490000.0,134462871.48,4597863.64,,,4077079.54,1172194.8,280351.76,,,,,,,,,,2164868.47,169418430.77,436190442.54,,,,,,750000.0,,33398755.08,,,,,,,,,,,,,,,,,469589197.62,,,,,,483984405.59,483984405.59,953573603.21,,,,,,,,,,,,,,,557722522.04,145952871.48,3755727.99,145406808.56,15895762.9,1559838.9,12648755.08,,,1
300968.SZ,20200306,20200306,20190930,1,1,3,310000000.0,343389622.4,265448108.04,34685094.89,,271920071.76,,57800975.61,327563256.06,,418328.73,,,164793885.88,,,,,,,,,3618003.52,831292605.6,,,,,,,,431050562.72,,,,,,18908919.91,,,5680884.97,8251334.7,,3219292.8,479981790.11,,,,,,,,,,,,,,,,,1311274395.71,,,,,,,87009682.82,197949189.75,29907375.61,,,30302684.26,5603223.63,,,,,,,,,,,,,354588979.2,,,,,,3162591.18,,3162591.18,,,,,,,,,,,,,,,,,357751570.38,,,,,,953522825.33,953522825.33,1311274395.71,,,,,,,,,,,,,,,385364231.67,284958872.57,5178084.04,431050562.72,12870795.01,3816823.13,,,,1
300947.SZ,20200207,20200207,20190930,1,1,3,40421999.0,712759745.85,57024468.46,7074931.01,,102982345.05,426000000.0,,7929451.82,3912103.45,30953741.46,,,,,,,,,,,,57391800.58,629169442.36,,,46904239.19,,,,,3978146.42,30081714.74,,,,,7610926.36,,,513283648.49,58748389.12,,91040912.33,766386970.97,,,,,,,,,,,,,,,,,1395556413.33,7000000.0,,,,,,,201161001.1,140456554.18,,,15306995.84,19436476.95,186115.0,1440000.0,178097397.34,,,,,,,,2249401.91,,558333942.32,,,,1564119.81,314154.35,1010588.01,,9940174.94,,,,,,,,,,,,,,,,,568274117.26,,,,,9261478.64,818020817.43,827282296.07,1395556413.33,,739673.11,,,,,,,,,,,,,7929451.82,201161001.1,3912103.45,3978146.42,30081714.74,179723512.34,51312.77,,,1
003035.SZ,20200327,20200327,20190930,1,1,3,3030303030.0,791786342.07,166835490.22,,,1193299540.79,,25416311.01,948985219.97,,7617615.38,,,9987076.0,,,,,,,,,322424590.7,2545590161.26,,,282833826.48,,,,28195210.03,5160416792.26,777347000.0,1608000.0,,,,109203707.92,,31517548.3,21799723.86,28377871.25,,28641050.32,6469940768.45,,,,,,,,,,,,,,,,,9015530929.71,1387786877.02,134301515.43,,,,,132068116.37,1146426503.02,20303485.9,,,94794939.88,30380183.94,,,,,,,,,,,224219414.86,,1907139472.63,,,,,1987840.58,116077769.86,,2504252096.09,,,,,,,,,,,,,,,,,4411391568.72,,,,,615160360.4,3988979000.59,4604139360.99,9015530929.71,,54138.3,,,,,,,16210789.54,,,,,,974401530.98,1278494619.39,21649017.87,5160416792.26,778955038.03,124645313.23,998399608.63,,,1
003021.SZ,20201116,20201116,20190930,1,1,3,80000000.0,143912529.93,312857694.3,12825368.03,,132961985.34,95497698.97,,351647680.7,7859598.96,6777811.63,,,234310341.71,,,,,,,,,32441.46,829398884.48,,,,,,,,267062452.38,3415243.76,,83864.67,,,37034189.28,,,11523628.31,5916316.86,,9499801.29,341921990.9,,,,,,,,,,,,,,,,,1171320875.38,28800000.0,8000000.0,,,,,143225832.73,307447929.38,16975940.14,,,37150195.99,31883461.56,,,8853976.77,,,,,,,,4800000.0,,558337336.57,,,,,15292922.55,17016799.93,,61109722.48,,,,,,,,,,,,,,,,,619447059.05,,,,,,551873816.33,551873816.33,1171320875.38,,2278224.07,,,,,,,,,,,,,351647680.7,450673762.11,7859598.96,267146317.05,3415243.76,8853976.77,,,,1
002477.SZ,20201201,20201201,20190930,1,1,3,3135159630.0,608066952.07,-4610656783.52,199725155.58,,207772227.58,72298.72,,696004509.53,,389312340.1,,8023604.5,365431348.15,,,,,,,,,3638745145.81,8433219910.99,,,805152220.01,29231467.49,,,,,,,,32101258.9,,262672716.53,,5736168.58,101837205.37,869522.83,,2913594924.95,10898587944.49,,,,,,,,,,,,,,,,,19331807855.48,408132494.49,4669571912.36,,,,,,1202933592.11,156140905.28,,,115828564.83,68506922.27,1063164412.68,63597329.62,1922822366.58,,,,,,,,3941342610.88,1955703457.69,15159612074.3,,,,524284.76,,45637639.18,2737038207.84,3429107643.99,,,,,,,,,,,,,,,,,18588719718.29,,,,,1410793183.06,-667705045.87,743088137.19,19331807855.48,,,,,,,,,,,,,,,696004509.53,1202933592.11,3135882041.1,3447391550.55,887467009.28,3049584108.88,237775017.72,,,0
300910.SZ,20200207,20200207,20190930,1,1,3,112500000.0,526876200.0,187804600.0,16469600.0,,404970700.0,,16017900.0,99258300.0,,14011400.0,,,106784800.0,,,,,,,,,342600.0,642386700.0,,,,,,,,153595000.0,31413400.0,,,,,73961000.0,,,5374900.0,1349500.0,,5839100.0,271532900.0,,,,,,,,,,,,,,,,,913919600.0,,10000000.0,,,,,8301000.0,35765700.0,3696300.0,,,5714600.0,3748300.0,13400.0,,,,,,,,,,,,70269200.0,,,,,,,,,,,,,,,,,,,,,,,,,70269200.0,,,,,,843650300.0,843650300.0,913919600.0,,,,,,,,,,,,,,,115276200.0,44066700.0,1000900.0,153595000.0,31413400.0,3043200.0,,,,1
605007.SH,20201109,20201109,20190930,1,1,3,360000000.0,160956560.24,396858322.35,6766534.9,,140697813.62,,113548460.61,401619645.96,,14602568.03,,,293360605.32,,,,,,,,,97492112.09,1147393259.97,,,,,,,,,,,,,,53792458.46,,,367933.86,14470117.3,,,1126227135.75,,,,,,,,,,,,,,,,,2273620395.72,188500000.0,641724088.58,,,,,239203561.77,207039797.03,10790988.6,,,2923897.95,16955421.9,,,,,,,,,,,11000000.0,,1131181355.7,,,,,1664847.53,27692775.0,,217857622.53,,,,,,,,,,,,,,,,,1349038978.23,,,,,,924581417.49,924581417.49,2273620395.72,,,,,,,,,,,,,,,515168106.57,446243358.8,32986988.43,598335966.14,459260659.99,1543599.87,,,,0
